Entry	Entry Name	Gene Names	Status	HTTP_Code	pLDDT	Sequence_Length	PDB_File	Error_Message	Protein names
A2DJK9	A2DJK9_TRIV3	TVAG_101270	Downloaded	200	89.38	63	AF-A2DJK9-F1-model_v6.pdb		Protein-S-isoprenylcysteine O-methyltransferase
A2FJH1	A2FJH1_TRIV3	TVAG_433490	Downloaded	200	95.12	327	AF-A2FJH1-F1-model_v6.pdb		type I protein arginine methyltransferase (EC 2.1.1.319)
A2DMU5	A2DMU5_TRIV3	TVAG_254280	Downloaded	200	90.25	217	AF-A2DMU5-F1-model_v6.pdb		Methyltransferase-like protein 5
A2DMX1	A2DMX1_TRIV3	TVAG_254540	Downloaded	200	92.88	435	AF-A2DMX1-F1-model_v6.pdb		Capsuleen, putative
A2DN93	A2DN93_TRIV3	TVAG_306010	Downloaded	200	93.88	113	AF-A2DN93-F1-model_v6.pdb		Uncharacterized protein
A2FCQ2	A2FCQ2_TRIV3	TVAG_048280	Downloaded	200	88.44	330	AF-A2FCQ2-F1-model_v6.pdb		Arginine methyltransferase, putative
A2F4W6	A2F4W6_TRIV3	TVAG_196340	Downloaded	200	79.94	160	AF-A2F4W6-F1-model_v6.pdb		MORN repeat family protein
A2E4S8	A2E4S8_TRIV3	TVAG_246220	Downloaded	200	92.75	340	AF-A2E4S8-F1-model_v6.pdb		carnosine N-methyltransferase (EC 2.1.1.22)
A2F2J3	A2F2J3_TRIV3	TVAG_265960	Downloaded	200	95.69	205	AF-A2F2J3-F1-model_v6.pdb		Maf protein
A2FPZ7	A2FPZ7_TRIV3	TVAG_007390	Downloaded	200	87.88	273	AF-A2FPZ7-F1-model_v6.pdb		site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)
A2EAA2	A2EAA2_TRIV3	TVAG_271330	Downloaded	200	87.75	273	AF-A2EAA2-F1-model_v6.pdb		D12 class N6 adenine-specific DNA methyltransferase family protein
A2G673	A2G673_TRIV3	TVAG_454840	Downloaded	200	81.75	333	AF-A2G673-F1-model_v6.pdb		Methyltransferase, FkbM family protein
A2FP34	A2FP34_TRIV3	TVAG_181300	Downloaded	200	94.19	137	AF-A2FP34-F1-model_v6.pdb		TsaA-like domain-containing protein
A2ECU9	A2ECU9_TRIV3	TVAG_102430	Downloaded	200	94.38	217	AF-A2ECU9-F1-model_v6.pdb		Methyltransferase small domain-containing protein
A2EF78	A2EF78_TRIV3	TVAG_079460	Downloaded	200	96.06	138	AF-A2EF78-F1-model_v6.pdb		MGC83087 protein, putative
A2EG78	A2EG78_TRIV3	TVAG_352760	Downloaded	200	82.81	152	AF-A2EG78-F1-model_v6.pdb		Tyr recombinase domain-containing protein
A2EN39	A2EN39_TRIV3	TVAG_087250	Missing	404				Struktura není v AlphaFold DB dostupná (404 Not Found)	Beige/BEACH domain containing protein
A2EQG5	A2EQG5_TRIV3	TVAG_108410	Downloaded	200	76.31	248	AF-A2EQG5-F1-model_v6.pdb		Meichroacidin, putative
A2ERV9	A2ERV9_TRIV3	TVAG_473130	Missing	404				Struktura není v AlphaFold DB dostupná (404 Not Found)	DUF2428 domain-containing protein
A2EVN9	A2EVN9_TRIV3	TVAG_299110	Downloaded	200	89.0	453	AF-A2EVN9-F1-model_v6.pdb		MGC78809 protein, putative
A2F007	A2F007_TRIV3	TVAG_111480	Downloaded	200	73.75	118	AF-A2F007-F1-model_v6.pdb		MORN repeat-containing protein 5
A2F2A3	A2F2A3_TRIV3	TVAG_382000	Downloaded	200	88.56	212	AF-A2F2A3-F1-model_v6.pdb		Menaquinone biosynthesis methyltransferase, putative
A2F5C5	A2F5C5_TRIV3	TVAG_222490	Downloaded	200	92.12	290	AF-A2F5C5-F1-model_v6.pdb		O-methyltransferase N-terminus family protein
A2FEZ1	A2FEZ1_TRIV3	TVAG_256850	Downloaded	200	94.0	202	AF-A2FEZ1-F1-model_v6.pdb		S-adenosylmethionine-dependent methyltransferase, putative
A2FG01	A2FG01_TRIV3	TVAG_270510	Downloaded	200	71.19	729	AF-A2FG01-F1-model_v6.pdb		PHD-finger family protein
A2FNB1	A2FNB1_TRIV3	TVAG_427290	Downloaded	200	96.56	192	AF-A2FNB1-F1-model_v6.pdb		Serine hydrolase domain-containing protein
A2FNV4	A2FNV4_TRIV3	TVAG_376050	Downloaded	200	85.69	211	AF-A2FNV4-F1-model_v6.pdb		Phosphoethanolamine N-methyltransferase-related protein
A2FXA0	A2FXA0_TRIV3	TVAG_029510	Downloaded	200	94.81	144	AF-A2FXA0-F1-model_v6.pdb		Methyltransferase, putative
A2FYV2	A2FYV2_TRIV3	TVAG_009340	Downloaded	200	89.19	235	AF-A2FYV2-F1-model_v6.pdb		Membrane protein, putative
A2G151	A2G151_TRIV3	TVAG_009470	Downloaded	200	94.31	280	AF-A2G151-F1-model_v6.pdb		Methyltransferase, putative, TIGR00027 family protein
