Entry	Entry Name	Protein names	Gene Names	Organism	3D	Duplicate_Count	Representative_pLDDT	All_Merged_Entries	All_Merged_Genes
A2EGQ3	A2EGQ3_TRIV3	SET domain containing protein	TVAG_302280	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		3	74.19	A2DIU2, A2EGQ3, A2F5J1	TVAG_433010, TVAG_302280, TVAG_087990
A2DJK9	A2DJK9_TRIV3	Protein-S-isoprenylcysteine O-methyltransferase	TVAG_101270	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	89.38	A2DJK9	TVAG_101270
A2FJH1	A2FJH1_TRIV3	type I protein arginine methyltransferase (EC 2.1.1.319)	TVAG_433490	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		4	95.12	A2DME7, A2E549, A2FJH1, A2FPG1	TVAG_045760, TVAG_028100, TVAG_433490, TVAG_199700
A2DMU5	A2DMU5_TRIV3	Methyltransferase-like protein 5	TVAG_254280	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	90.25	A2DMU5	TVAG_254280
A2DMX1	A2DMX1_TRIV3	Capsuleen, putative	TVAG_254540	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		2	92.88	A2DMX1, A2G4Z8	TVAG_254540, TVAG_096150
A2DN93	A2DN93_TRIV3	Uncharacterized protein	TVAG_306010	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		10	93.88	A2DN93, A2DZV3, A2E1C8, A2E5Z3, A2EDB3, A2EHM0, A2EL80, A2F2L6, A2FR04, A2G627	TVAG_306010, TVAG_478370, TVAG_343240, TVAG_399550, TVAG_417930, TVAG_312150, TVAG_069250, TVAG_207530, TVAG_317290, TVAG_193910
A2FCQ2	A2FCQ2_TRIV3	Arginine methyltransferase, putative	TVAG_048280	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		2	88.44	A2DNX4, A2FCQ2	TVAG_225950, TVAG_048280
A2F4W6	A2F4W6_TRIV3	MORN repeat family protein	TVAG_196340	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		4	79.94	A2DUB8, A2EK69, A2EU28, A2F4W6	TVAG_262060, TVAG_100020, TVAG_063580, TVAG_196340
A2E4S8	A2E4S8_TRIV3	carnosine N-methyltransferase (EC 2.1.1.22)	TVAG_246220	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	92.75	A2E4S8	TVAG_246220
A2F2J3	A2F2J3_TRIV3	Maf protein	TVAG_265960	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		2	95.69	A2E4U5, A2F2J3	TVAG_160900, TVAG_265960
A2FPZ7	A2FPZ7_TRIV3	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	TVAG_007390	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		4	87.88	A2E5M3, A2EZ81, A2FPZ7, A2GP16	TVAG_039120, TVAG_051460, TVAG_007390, TVAG_527790
A2EAA2	A2EAA2_TRIV3	D12 class N6 adenine-specific DNA methyltransferase family protein	TVAG_271330	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		3	87.75	A2E7Q8, A2EAA2, A2HEL1	TVAG_344370, TVAG_271330, TVAG_557140
A2G673	A2G673_TRIV3	Methyltransferase, FkbM family protein	TVAG_454840	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		5	81.75	A2E9Q9, A2F1K3, A2FDN2, A2FHK8, A2G673	TVAG_281940, TVAG_440470, TVAG_011250, TVAG_459480, TVAG_454840
A2FP34	A2FP34_TRIV3	TsaA-like domain-containing protein	TVAG_181300	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		3	94.19	A2EBW9, A2FC71, A2FP34	TVAG_259180, TVAG_335440, TVAG_181300
A2ECU9	A2ECU9_TRIV3	Methyltransferase small domain-containing protein	TVAG_102430	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	94.38	A2ECU9	TVAG_102430
A2EF78	A2EF78_TRIV3	MGC83087 protein, putative	TVAG_079460	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		2	96.06	A2EF78, A2FNP4	TVAG_079460, TVAG_427110
A2EG78	A2EG78_TRIV3	Tyr recombinase domain-containing protein	TVAG_352760	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	82.81	A2EG78	TVAG_352760
A2EN39	A2EN39_TRIV3	Beige/BEACH domain containing protein	TVAG_087250	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	N/A	A2EN39	TVAG_087250
A2EQG5	A2EQG5_TRIV3	Meichroacidin, putative	TVAG_108410	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	76.31	A2EQG5	TVAG_108410
A2ERV9	A2ERV9_TRIV3	DUF2428 domain-containing protein	TVAG_473130	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	N/A	A2ERV9	TVAG_473130
A2EVN9	A2EVN9_TRIV3	MGC78809 protein, putative	TVAG_299110	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	89.0	A2EVN9	TVAG_299110
A2F007	A2F007_TRIV3	MORN repeat-containing protein 5	TVAG_111480	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	73.75	A2F007	TVAG_111480
A2F2A3	A2F2A3_TRIV3	Menaquinone biosynthesis methyltransferase, putative	TVAG_382000	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	88.56	A2F2A3	TVAG_382000
A2F5C5	A2F5C5_TRIV3	O-methyltransferase N-terminus family protein	TVAG_222490	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	92.12	A2F5C5	TVAG_222490
A2FEZ1	A2FEZ1_TRIV3	S-adenosylmethionine-dependent methyltransferase, putative	TVAG_256850	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	94.0	A2FEZ1	TVAG_256850
A2FG01	A2FG01_TRIV3	PHD-finger family protein	TVAG_270510	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	71.19	A2FG01	TVAG_270510
A2FNB1	A2FNB1_TRIV3	Serine hydrolase domain-containing protein	TVAG_427290	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	96.56	A2FNB1	TVAG_427290
A2FNV4	A2FNV4_TRIV3	Phosphoethanolamine N-methyltransferase-related protein	TVAG_376050	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	85.69	A2FNV4	TVAG_376050
A2FXA0	A2FXA0_TRIV3	Methyltransferase, putative	TVAG_029510	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		2	94.81	A2FXA0, A2G5Z9	TVAG_029510, TVAG_466240
A2FYV2	A2FYV2_TRIV3	Membrane protein, putative	TVAG_009340	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	89.19	A2FYV2	TVAG_009340
A2G151	A2G151_TRIV3	Methyltransferase, putative, TIGR00027 family protein	TVAG_009470	Trichomonas vaginalis (strain ATCC PRA-98 / G3)		1	94.31	A2G151	TVAG_009470
